id,nome,uf,nome_simples,uf_simples
5200050,Abadia de Goiás,Goiás,ABADIA DE GOIAS,GOIAS
3100104,Abadia dos Dourados,Minas Gerais,ABADIA DOS DOURADOS,MINAS GERAIS
5200100,Abadiânia,Goiás,ABADIANIA,GOIAS
3100203,Abaeté,Minas Gerais,ABAETE,MINAS GERAIS
1500107,Abaetetuba,Pará,ABAETETUBA,PARA
2300101,Abaiara,Ceará,ABAIARA,CEARA
2900108,Abaíra,Bahia,ABAIRA,BAHIA
2900207,Abaré,Bahia,ABARE,BAHIA
4100103,Abatiá,Paraná,ABATIA,PARANA
4200051,Abdon Batista,Santa Catarina,ABDON BATISTA,SANTA CATARINA
1500131,Abel Figueiredo,Pará,ABEL FIGUEIREDO,PARA
4200101,Abelardo Luz,Santa Catarina,ABELARDO LUZ,SANTA CATARINA
3100302,Abre Campo,Minas Gerais,ABRE CAMPO,MINAS GERAIS
2600054,Abreu e Lima,Pernambuco,ABREU E LIMA,PERNAMBUCO
1700251,Abreulândia,Tocantins,ABREULANDIA,TOCANTINS
3100401,Acaiaca,Minas Gerais,ACAIACA,MINAS GERAIS
2100055,Açailândia,Maranhão,ACAILANDIA,MARANHAO
2900306,Acajutiba,Bahia,ACAJUTIBA,BAHIA
1500206,Acará,Pará,ACARA,PARA
2300150,Acarape,Ceará,ACARAPE,CEARA
2300200,Acaraú,Ceará,ACARAU,CEARA
2400109,Acari,Rio Grande do Norte,ACARI,RIO GRANDE DO NORTE
2200053,Acauã,Piauí,ACAUA,PIAUI
4300034,Aceguá,Rio Grande do Sul,ACEGUA,RIO GRANDE DO SUL
2300309,Acopiara,Ceará,ACOPIARA,CEARA
5100102,Acorizal,Mato Grosso,ACORIZAL,MATO GROSSO
1200013,Acrelândia,Acre,ACRELANDIA,ACRE
5200134,Acreúna,Goiás,ACREUNA,GOIAS
2400208,Açu,Rio Grande do Norte,ACU,RIO GRANDE DO NORTE
3100500,Açucena,Minas Gerais,ACUCENA,MINAS GERAIS
3500105,Adamantina,São Paulo,ADAMANTINA,SAO PAULO
5200159,Adelândia,Goiás,ADELANDIA,GOIAS
3500204,Adolfo,São Paulo,ADOLFO,SAO PAULO
4100202,Adrianópolis,Paraná,ADRIANOPOLIS,PARANA
2900355,Adustina,Bahia,ADUSTINA,BAHIA
2600104,Afogados da Ingazeira,Pernambuco,AFOGADOS DA INGAZEIRA,PERNAMBUCO
2400307,Afonso Bezerra,Rio Grande do Norte,AFONSO BEZERRA,RIO GRANDE DO NORTE
3200102,Afonso Cláudio,Espírito Santo,AFONSO CLAUDIO,ESPIRITO SANTO
2100105,Afonso Cunha,Maranhão,AFONSO CUNHA,MARANHAO
2600203,Afrânio,Pernambuco,AFRANIO,PERNAMBUCO
1500305,Afuá,Pará,AFUA,PARA
2600302,Agrestina,Pernambuco,AGRESTINA,PERNAMBUCO
2200103,Agricolândia,Piauí,AGRICOLANDIA,PIAUI
4200200,Agrolândia,Santa Catarina,AGROLANDIA,SANTA CATARINA
4200309,Agronômica,Santa Catarina,AGRONOMICA,SANTA CATARINA
1500347,Água Azul do Norte,Pará,AGUA AZUL DO NORTE,PARA
3100609,Água Boa,Minas Gerais,AGUA BOA,MINAS GERAIS
5100201,Água Boa,Mato Grosso,AGUA BOA,MATO GROSSO
2700102,Água Branca,Alagoas,AGUA BRANCA,ALAGOAS
2200202,Água Branca,Piauí,AGUA BRANCA,PIAUI
2500106,Água Branca,Paraíba,AGUA BRANCA,PARAIBA
5000203,Água Clara,Mato Grosso do Sul,AGUA CLARA,MATO GROSSO DO SUL
3100708,Água Comprida,Minas Gerais,AGUA COMPRIDA,MINAS GERAIS
4200408,Água Doce,Santa Catarina,AGUA DOCE,SANTA CATARINA
